openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,trades,takerBaseAssetVolume,takerQuoteAssetVolume,ignored
1506499200000,3952.10000000,3969.00000000,3931.00000000,3937.51000000,16.88142400,1506502799999,66778.73006665,284,7.09604000,28110.64061270,9379.47572338
1506502800000,3939.10000000,3970.00000000,3937.01000000,3970.00000000,10.08332800,1506506399999,39913.70764003,160,6.18525800,24520.53041258,9496.61981109
1506506400000,3970.00000000,4075.43000000,3970.00000000,4075.43000000,62.36269000,1506509999999,250437.95884359,500,51.13911800,205122.75447801,9529.61624342
1506510000000,4065.00000000,4099.95000000,4050.00000000,4073.00000000,75.17966800,1506513599999,306597.67028721,832,52.30324600,213620.23188341,9565.59493687
1506513600000,4072.20000000,4099.95000000,4072.20000000,4096.63000000,27.97729100,1506517199999,114466.59149731,469,15.30317700,62684.72689699,9616.93677083
1506517200000,4092.00000000,4095.00000000,4053.40000000,4055.00000000,19.61613800,1506520799999,79878.94815173,348,3.96861000,16199.01310455,9229.87169965
1506520800000,4070.00000000,4100.00000000,4056.02000000,4097.00000000,49.78052600,1506524399999,203394.60910991,559,26.36973700,107864.31944098,9219.34384965
1506524400000,4091.00000000,4119.00000000,4068.00000000,4090.00000000,50.98534400,1506527999999,209175.17154261,566,33.77720000,138865.57128078,9285.67129921
1506528000000,4099.80000000,4119.00000000,4075.05000000,4110.00000000,35.75307600,1506531599999,146348.85141405,454,18.37076800,75377.51369648,9380.59387147
1506531600000,4110.01000000,4117.99000000,4088.00000000,4095.00000000,14.77098900,1506535199999,60640.97349514,222,5.58487600,22961.09541015,9431.12345167
1506535200000,4096.22000000,4186.96000000,4092.10000000,4156.50000000,63.18267200,1506538799999,261373.06203636,568,39.61941000,163865.03566391,9461.84059676
1506538800000,4180.00000000,4200.00000000,4134.00000000,4190.00000000,21.69944200,1506542399999,90542.33936422,461,11.53953000,48268.03917583,9474.19343891
1506542400000,4189.00000000,4200.00000000,4164.00000000,4195.00000000,9.75011000,1506545999999,40832.01535852,214,3.89647900,16339.36606581,9529.44610798
1506546000000,4176.10000000,4207.54000000,4152.01000000,4207.54000000,15.19310200,1506549599999,63572.49295685,275,7.32148500,30714.62833191,9570.14268191
1506549600000,4208.02000000,4249.94000000,4181.72000000,4207.95000000,23.77750800,1506553199999,100126.13990340,337,12.10559800,51069.46915637,9591.34409540
1506553200000,4186.00000000,4233.05000000,4185.10000000,4193.00000000,17.01092800,1506556799999,71577.46193269,284,7.25721800,30573.78357694,9629.05334499
1506556800000,4192.11000000,4219.99000000,4152.02000000,4152.02000000,39.96542100,1506560399999,167807.09042440,357,13.02409100,54807.64158305,9649.77501103
1506560400000,4180.00000000,4199.99000000,4160.00000000,4187.99000000,19.11139300,1506563999999,80154.90675260,365,9.27337600,38916.44320319,9672.46429789
1506564000000,4178.00000000,4197.97000000,4148.99000000,4170.00000000,41.00898900,1506567599999,170846.02920384,609,18.63784100,77638.09410973,9697.27837872
1506567600000,4150.01000000,4200.01000000,4140.01000000,4200.00000000,35.26180200,1506571199999,146938.18499751,430,20.29995700,84590.91939836,9725.71365069
1506571200000,4200.00000000,4300.00000000,4185.00000000,4242.01000000,41.16056500,1506574799999,174713.55177177,452,16.34469300,69363.51225600,9744.50871369
1506574800000,4242.01000000,4270.00000000,4200.01000000,4230.00000000,26.29468400,1506578399999,111710.32043706,567,12.44600100,52968.00372724,9735.38790930
1506578400000,4239.99000000,4258.83000000,4200.02000000,4235.01000000,20.13935900,1506581999999,85419.29592502,253,6.80728000,28920.43753765,9706.92091272
1506582000000,4255.00000000,4256.98000000,4223.95000000,4246.00000000,38.23798400,1506585599999,162177.03654974,591,12.29082700,52186.01498309,9827.49254940
1506585600000,4247.00000000,4269.99000000,4246.00000000,4267.89000000,26.95757600,1506589199999,114734.57623305,402,18.72846300,79722.83396989,9893.52561221
1506589200000,4269.00000000,4272.45000000,4230.00000000,4256.56000000,26.06869800,1506592799999,111030.99909164,471,8.74376500,37289.12696324,9949.14575363
1506592800000,4267.99000000,4269.00000000,4136.00000000,4148.00000000,48.85170400,1506596399999,204461.53602881,597,12.68648000,53100.05329504,10024.43833152
1506596400000,4140.96000000,4198.98000000,4140.00000000,4180.00000000,45.45896500,1506599999999,189114.03331270,710,24.60327400,102523.31335123,10031.24492031
1506600000000,4170.19000000,4201.10000000,4136.10000000,4189.02000000,57.82154200,1506603599999,241152.04703260,555,29.16557400,121696.22269768,10078.94853909
1506603600000,4189.02000000,4210.00000000,4150.01000000,4150.05000000,36.66613700,1506607199999,153444.30647186,477,13.28476500,55646.67334312,10153.36727955
1506607200000,4180.00000000,4195.00000000,4101.00000000,4128.99000000,55.08342300,1506610799999,228118.79090261,685,15.40264000,63849.05459036,10294.70782793
1506610800000,4128.00000000,4169.93000000,4101.00000000,4168.00000000,42.75368500,1506614399999,176717.71438854,508,21.70909200,89886.92849633,10407.72972694
1506614400000,4133.03000000,4209.50000000,4133.03000000,4154.00000000,22.30657500,1506617999999,93159.34904580,407,6.79424600,28456.71460807,10494.43014734
1506618000000,4162.00000000,4209.68000000,4154.00000000,4187.00000000,38.08912800,1506621599999,159044.01162807,554,18.87831400,78917.02035166,10678.43502197
1506621600000,4188.74000000,4190.00000000,4140.07000000,4147.01000000,27.89673500,1506625199999,116252.70719834,488,9.40833500,39265.76023981,10744.73163262
1506625200000,4147.01000000,4169.95000000,4110.00000000,4149.99000000,30.14344000,1506628799999,124576.20791233,359,8.13708200,33724.20481427,10782.13732263
1506628800000,4143.12000000,4169.96000000,4114.03000000,4129.99000000,38.91445200,1506632399999,160719.29386478,506,16.31964100,67472.89577767,10817.92326845
1506632400000,4131.87000000,4194.99000000,4130.00000000,4184.98000000,26.89248200,1506635999999,111693.32882082,369,16.65527300,69236.78878410,10858.13040016
1506636000000,4184.98000000,4190.00000000,4136.26000000,4150.00000000,50.53118100,1506639599999,210374.97866558,517,33.51058700,139603.02084562,10886.74605796
1506639600000,4150.00000000,4179.30000000,4140.05000000,4174.50000000,14.16940500,1506643199999,58818.57371407,197,1.36585500,5685.67887927,10915.25822059
1506643200000,4178.98000000,4195.99000000,4170.00000000,4195.98000000,23.60684100,1506646799999,98869.35436039,317,16.32824500,68425.34254317,10924.62898873
1506646800000,4190.37000000,4215.00000000,4150.00000000,4150.00000000,41.90138400,1506650399999,175613.84429940,505,22.46367100,94206.93357712,10921.68653584
1506650400000,4160.00000000,4189.96000000,4006.00000000,4008.01000000,180.81185500,1506653999999,734799.39641952,1187,61.69242000,250343.60462225,10887.35857795
1506654000000,4025.00000000,4113.00000000,3952.01000000,4032.87000000,323.65333700,1506657599999,1303079.29920186,1529,170.78099800,688100.38325709,10966.48943056
1506657600000,4000.00000000,4113.81000000,4000.00000000,4100.00000000,138.87320300,1506661199999,562584.15092412,903,79.93028500,323719.46274715,10288.78914552
1506661200000,4100.00000000,4113.81000000,3970.00000000,4030.00000000,85.94067100,1506664799999,345594.02148980,794,24.25947200,97648.13142157,10341.48232580
1506664800000,4030.00000000,4079.99000000,4010.10000000,4053.15000000,47.48236600,1506668399999,191399.93400399,678,18.84704900,76039.70227054,10423.91165902
1506668400000,4053.15000000,4109.96000000,4051.01000000,4090.10000000,60.05486000,1506671999999,245476.19679397,657,19.77117700,80941.12203521,10480.73934725
1506672000000,4090.10000000,4135.00000000,4060.02000000,4129.98000000,44.17599400,1506675599999,181420.07174083,536,25.16363800,103423.13770183,10520.62338116
1506675600000,4119.68000000,4129.98000000,4060.05000000,4063.01000000,35.79853300,1506679199999,146396.29715432,521,13.80714200,56552.04012145,10543.97848322
1506679200000,4063.03000000,4145.30000000,4063.01000000,4145.30000000,57.23197000,1506682799999,235353.21168595,506,28.33057700,116592.84409848,10613.17495593
1506682800000,4145.30000000,4248.00000000,4145.30000000,4220.01000000,48.35661500,1506686399999,202533.39342780,509,30.75334900,128947.91809887,10672.48222851
1506686400000,4234.99000000,4251.00000000,4180.53000000,4247.00000000,55.52283200,1506689999999,235052.88228157,811,16.63899000,70417.56385839,10791.31957320
1506690000000,4247.11000000,4248.01000000,4131.68000000,4158.00000000,77.25939400,1506693599999,323215.76230142,779,16.21253300,67448.89422735,10858.16910725
1506693600000,4158.00000000,4210.00000000,4145.00000000,4146.01000000,38.11915100,1506697199999,159202.59158448,491,10.64287600,44557.67603810,10778.72785831
1506697200000,4146.01000000,4180.00000000,4142.01000000,4143.02000000,33.70679900,1506700799999,140468.66497932,447,5.83840100,24392.54333552,10814.49176492
1506700800000,4145.03000000,4259.99000000,4144.00000000,4200.01000000,47.85336500,1506704399999,201283.36118482,558,19.94530900,84080.74676433,10800.50535050
1506704400000,4200.01000000,4234.00000000,4132.04000000,4158.41000000,48.23833100,1506707999999,201546.07816338,414,15.55851200,65269.50850251,10846.34954854
1506708000000,4132.05000000,4188.47000000,4132.05000000,4140.38000000,25.97201700,1506711599999,107831.54139254,535,10.67510200,44419.42731524,10857.21247471
1506711600000,4140.38000000,4180.00000000,4101.01000000,4179.99000000,30.87470400,1506715199999,128159.44747013,320,8.74276800,36416.10294266,10887.13843700
