openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,trades,takerBaseAssetVolume,takerQuoteAssetVolume,ignored
1506610800000,0.07230900,0.07295000,0.07177200,0.07222700,2450.56300000,1506614399999,177.34710514,2227,1273.86200000,92.27189954,79862.46113838
1506614400000,0.07202900,0.07300000,0.07160100,0.07217700,2503.29500000,1506617999999,180.86034018,2118,1222.96600000,88.43946661,80310.86866380
1506618000000,0.07217700,0.07301600,0.07150900,0.07242100,3593.12400000,1506621599999,259.79289744,2645,1877.00700000,135.78803980,80483.58839754
1506621600000,0.07251600,0.07310000,0.07205100,0.07244900,1412.59100000,1506625199999,102.53762738,1631,755.41300000,54.86785977,80655.74410781
1506625200000,0.07239700,0.07284600,0.07200000,0.07237600,1871.21600000,1506628799999,135.45254458,1703,987.19400000,71.47774074,80883.01868714
1506628800000,0.07237600,0.07307300,0.07186600,0.07254100,2091.71100000,1506632399999,151.52256036,1674,1127.82900000,81.73609132,81028.20348345
1506632400000,0.07263200,0.07298800,0.07228700,0.07266200,1644.91700000,1506635999999,119.49925232,1437,933.49100000,67.81945839,81098.40230785
1506636000000,0.07266700,0.07299400,0.07186500,0.07207200,1736.83600000,1506639599999,125.86060602,1590,781.16600000,56.63822283,81385.98235332
1506639600000,0.07207200,0.07276400,0.07191400,0.07250900,1636.53900000,1506643199999,118.55905323,1256,926.85800000,67.14622340,82349.71463412
1506643200000,0.07250700,0.07259000,0.07186500,0.07203600,1520.49800000,1506646799999,109.87256340,1163,942.76800000,68.15042441,82494.41362329
1506646800000,0.07199500,0.07243000,0.07161500,0.07200000,1350.56300000,1506650399999,97.24084674,1359,715.30000000,51.51647221,82138.30217109
1506650400000,0.07200000,0.07200000,0.07000000,0.07047300,3116.01500000,1506653999999,221.10968643,2466,1691.43600000,119.99017103,81908.22929608
1506654000000,0.07063400,0.07110000,0.06901500,0.06926000,4482.53300000,1506657599999,313.68376065,3721,2246.73900000,157.36229203,83245.42688491
1506657600000,0.06945200,0.07080000,0.06926100,0.07003800,2544.06400000,1506661199999,178.48185858,2455,1389.86500000,97.52779977,83496.53202005
1506661200000,0.07003800,0.07094300,0.06938700,0.07008500,2159.39200000,1506664799999,151.32746095,1763,1147.83500000,80.47961883,83896.99035836
1506664800000,0.07009600,0.07050700,0.06958500,0.07019400,1757.80100000,1506668399999,123.32549811,1787,936.98700000,65.75679492,84236.61951822
1506668400000,0.07019400,0.07094300,0.07012800,0.07083100,1355.84200000,1506671999999,95.66551882,1667,807.40500000,57.00366454,84067.29167794
1506672000000,0.07094200,0.07120000,0.07050200,0.07055700,1643.06400000,1506675599999,116.33957906,1942,850.47800000,60.25308881,84222.22793684
1506675600000,0.07055700,0.07078600,0.07033500,0.07041400,1139.37600000,1506679199999,80.39293995,1261,571.26500000,40.31422540,83031.03073259
1506679200000,0.07058200,0.07061200,0.06960100,0.06996900,1654.26500000,1506682799999,116.06717510,1357,724.76000000,50.89070984,82528.44427830
1506682800000,0.06995700,0.07022400,0.06950000,0.07021300,1252.91800000,1506686399999,87.60391154,1119,590.35800000,41.28997047,82082.07045573
1506686400000,0.07020500,0.07120000,0.07000100,0.07119600,1468.26200000,1506689999999,103.76859007,1695,679.04600000,48.02180422,81518.15150647
1506690000000,0.07117800,0.07123900,0.07015800,0.07055000,1721.94600000,1506693599999,121.84823343,1711,648.07300000,45.90134337,81517.25205309
1506693600000,0.07040000,0.07066900,0.07013300,0.07050000,1152.24300000,1506697199999,81.08414858,1457,611.69000000,43.07413868,81787.41818138
1506697200000,0.07050000,0.07080600,0.07020300,0.07059200,1344.63600000,1506700799999,94.73550576,1323,506.54400000,35.71088189,81431.91270538
1506700800000,0.07036100,0.07078800,0.07034400,0.07036500,1083.78200000,1506704399999,76.42081653,1565,443.04900000,31.25556967,81712.06603704
1506704400000,0.07035300,0.07100000,0.07020300,0.07036100,1163.85400000,1506707999999,81.94375356,1242,589.15400000,41.50426319,81947.29543350
1506708000000,0.07038000,0.07060700,0.07010200,0.07038400,1151.93600000,1506711599999,80.96775457,1258,453.87300000,31.93434280,81574.77330128
1506711600000,0.07044400,0.07083700,0.07041600,0.07083700,556.00500000,1506715199999,39.22554661,997,170.96800000,12.07607480,81656.91760310
1506715200000,0.07056800,0.07093500,0.07042700,0.07066400,1085.57000000,1506718799999,76.65415714,1122,533.10700000,37.67025645,82586.79905980
1506718800000,0.07047800,0.07122100,0.07039200,0.07079100,1348.50500000,1506722399999,95.27928034,1520,583.42300000,41.27065587,82547.85202403
1506722400000,0.07062000,0.07201900,0.07037700,0.07125800,2616.17800000,1506725999999,185.67765644,2895,1323.41300000,94.00651728,82387.52743432
1506726000000,0.07125800,0.07147200,0.07046200,0.07091000,1909.35300000,1506729599999,135.54941621,1967,909.89400000,64.63023473,81911.33521906
1506729600000,0.07087800,0.07115000,0.07040800,0.07077600,873.92400000,1506733199999,61.88964677,1047,337.84900000,23.93702672,82403.11195304
1506733200000,0.07065900,0.07090000,0.07030500,0.07073200,1285.54700000,1506736799999,90.68205576,1204,682.83700000,48.19792287,82394.96342358
1506736800000,0.07074600,0.07188600,0.07046600,0.07098800,1481.63300000,1506740399999,105.24357774,1616,740.90500000,52.65395590,83013.14059405
1506740400000,0.07098800,0.07201900,0.07064700,0.07158700,2634.46400000,1506743999999,187.56033374,3358,1371.35400000,97.72130797,82965.54550706
1506744000000,0.07159300,0.07330000,0.07073700,0.07259600,3651.62500000,1506747599999,262.83166941,4333,1878.28000000,135.26437982,83951.11694290
1506747600000,0.07255200,0.07277200,0.07024900,0.07057300,1989.33600000,1506751199999,141.77573121,2504,926.31500000,66.02875206,85760.83703150
1506751200000,0.07055200,0.07100000,0.07021100,0.07058000,1748.01900000,1506754799999,123.36048669,1580,855.70400000,60.44064107,86651.35301526
1506754800000,0.07057200,0.07069900,0.06966200,0.06970500,1857.91100000,1506758399999,130.28109469,2057,750.55700000,52.69323715,86855.84916566
1506758400000,0.06970200,0.07050000,0.06940100,0.07026000,1402.81900000,1506761999999,98.29345929,1436,665.05400000,46.63304921,87073.01591931
1506762000000,0.07050000,0.07050000,0.06940400,0.06989000,1300.00200000,1506765599999,90.77689015,1540,620.42900000,43.34007310,87276.71766405
